Median_Index,Smoothed_Voltage
6624,-8466.796875
6674,-8466.796875
6724,-8466.796875
6774,-8466.796875
6824,-8466.796875
6874,-8466.796875
6924,-8466.796875
6974,-8466.796875
7024,-8466.796875
7074,-8466.796875
7124,-8466.796875
7174,-8466.796875
7224,-8466.796875
7274,-8466.796875
7324,-8466.796875
7374,-8466.796875
7424,-8466.796875
7474,-8466.796875
7524,-8466.796875
7574,-8466.796875
7624,-8466.796875
7674,-8466.796875
7724,-8466.796875
7824,-8461.914062
7874,-8461.914062
7924,-8461.914062
7974,-8461.914062
8024,-8461.914062
8074,-8461.914062
8174,-8457.03125
8224,-8457.03125
8274,-8457.03125
8324,-8457.03125
8374,-8457.03125
8424,-8457.03125
8474,-8457.03125
8574,-8452.148438
8624,-8452.148438
8674,-8452.148438
8724,-8452.148438
8774,-8452.148438
8824,-8452.148438
8874,-8452.148438
8924,-8452.148438
8974,-8452.148438
9024,-8452.148438
9074,-8452.148438
9174,-8447.265625
9224,-8447.265625
9274,-8447.265625
9324,-8447.265625
9374,-8447.265625
9424,-8447.265625
9474,-8447.265625
9524,-8447.265625
9574,-8447.265625
9624,-8447.265625
9674,-8447.265625
9724,-8447.265625
9774,-8447.265625
9824,-8447.265625
9874,-8447.265625
9924,-8447.265625
9974,-8447.265625
10024,-8447.265625
10074,-8447.265625
10124,-8447.265625
10174,-8447.265625
10224,-8447.265625
10274,-8447.265625
10324,-8447.265625
10374,-8447.265625
10424,-8447.265625
10474,-8447.265625
10524,-8447.265625
10574,-8447.265625
10624,-8447.265625
10674,-8447.265625
10724,-8447.265625
10774,-8447.265625
10824,-8447.265625
10874,-8447.265625
10924,-8447.265625
10974,-8447.265625
11024,-8447.265625
11124,-8442.382812
11174,-8442.382812
11224,-8442.382812
11274,-8442.382812
11324,-8442.382812
11374,-8442.382812
11424,-8442.382812
11474,-8442.382812
11524,-8442.382812
11574,-8442.382812
11624,-8442.382812
11674,-8442.382812
11724,-8442.382812
11774,-8442.382812
11924,-8442.382812
11974,-8442.382812
12024,-8442.382812
12074,-8442.382812
12124,-8442.382812
12174,-8442.382812
12224,-8442.382812
12324,-8447.265625
12374,-8447.265625
12424,-8447.265625
12474,-8447.265625
12524,-8447.265625
